flag,cst_unn_id,bas_inf,act,zx
0,39013747,42,12,60
0,38338380,21,2,25
0,34362122,8,22,110
0,34379603,6,22,110
0,37533732,15,2,115
0,40108184,10,25,15
0,34989177,40,7,45
0,30839933,17,15,50
0,33495324,10,17,0
0,39330879,20,7,-20
0,35934253,15,12,110
0,41510263,20,20,60
0,31496960,15,7,115
0,36553011,21,25,10
0,40978220,15,27,80
0,34678709,11,12,60
0,40786935,10,13,-25
0,37859208,15,22,120
0,40424815,12,7,-25
0,39190356,10,-8,-15
0,43579664,35,18,65
0,33630087,15,22,105
0,31337654,18,22,105
0,37497838,10,10,-45
0,42059566,11,-10,45
0,33584046,13,-5,20
0,33840917,36,22,110
0,35098000,30,2,80
0,43588218,15,12,60
0,35868003,20,10,100
0,41128917,50,7,110
0,37847529,20,22,90
0,37703250,8,22,100
0,43592361,15,15,-10
0,37747478,15,22,120
0,34637647,0,22,120
0,41414453,10,7,50
0,34349917,8,12,120
0,38139841,11,12,110
0,37851680,10,7,120
0,39542256,12,13,-25
0,30600715,8,22,95
0,35422749,15,10,-50
0,42515052,15,25,30
0,40938583,15,20,-25
0,40786807,15,22,80
0,33777816,-2,12,110
0,41405761,20,7,100
0,30603860,10,17,115
0,36835501,17,25,105
0,37492682,25,10,25
0,40977301,30,15,65
0,40651852,20,17,95
0,35757684,10,7,80
0,32959416,17,7,75
0,37700290,10,22,20
0,39556152,26,25,55
0,34029231,28,15,-5
0,41825910,10,10,55
0,36594131,15,2,-40
0,37511222,15,27,115
0,36296467,0,22,110
0,35836294,15,17,105
0,37870988,10,12,80
0,31532184,15,7,60
0,31786787,10,17,10
0,41456975,35,5,55
0,32189629,10,5,60
0,32189629,10,5,60
0,38958452,27,27,110
0,37051406,16,22,120
0,36692208,38,25,75
0,35802828,15,12,115
0,32130128,10,12,120
0,35570169,15,12,115
0,41108325,31,30,65
0,40948759,13,12,115
0,37605311,15,27,90
0,31801296,15,23,40
0,34214437,10,7,90
0,39737988,5,2,35
0,41903322,10,27,95
0,37252647,43,12,105
0,39962195,15,-3,120
0,42447436,11,22,105
0,39308803,15,12,40
0,36461439,12,7,95
0,39602266,15,-3,-20
0,40782654,5,22,70
0,38948976,10,7,55
0,32530836,8,22,115
0,32530836,8,22,115
0,37935081,10,7,20
0,40393476,3,13,10
0,38289329,25,22,115
0,39407795,40,-10,25
0,41484562,20,2,-35
0,35164982,15,12,120
0,35933580,10,28,25
0,37988308,15,2,120
0,35817084,11,2,85
0,35115997,10,0,-25
0,41095223,16,12,115
0,43043172,10,22,75
0,34839155,20,12,0
0,33847337,8,2,110
0,37617644,38,22,95
0,39491136,13,2,115
0,40714859,11,18,-35
0,34892130,13,17,105
0,34867138,6,0,120
0,35812360,10,22,105
0,36657136,13,22,110
0,32306223,13,22,120
0,34345037,28,12,95
0,31784053,36,12,120
0,35256523,13,7,95
0,38927828,28,10,-25
0,40553482,10,25,40
0,34684407,-2,22,105
0,37891925,15,22,95
0,33565969,8,22,115
0,35042994,1,0,30
0,33641572,15,22,110
0,35802885,1,12,70
0,33562210,16,22,85
0,37825249,10,-3,45
0,34376180,8,22,105
0,41693411,35,23,15
0,31619023,10,23,-35
0,39437391,50,20,-75
0,36744728,10,15,50
0,37630976,33,12,105
0,37623235,15,27,105
0,40411867,35,22,80
0,39431876,28,22,95
0,32257384,5,12,115
0,33779517,10,27,105
0,35833855,10,25,120
0,30706406,5,22,120
0,30706406,5,22,120
0,40482507,10,22,85
0,34365282,13,25,100
0,43842420,8,25,0
0,31801020,5,22,115
0,35761016,15,22,120
0,34127211,10,22,95
0,40844504,10,23,5
0,36954057,8,22,115
0,41228516,10,12,115
0,37970540,3,7,75
0,39409882,25,2,10
0,43613851,20,13,40
0,39018958,18,12,75
0,38925673,16,7,40
0,32187362,13,15,20
0,41570018,11,15,110
0,42058773,35,17,110
0,37112673,10,22,105
0,33632124,10,7,120
0,40145979,7,10,25
0,41033646,15,25,60
0,37850727,15,22,110
0,30606830,18,17,85
0,39025489,20,12,55
0,42231909,11,23,35
0,39419231,25,30,35
0,35256410,0,12,120
0,37157695,0,12,105
0,40378957,10,25,-20
0,34995843,5,12,120
0,41309923,28,22,80
0,40804258,17,27,-5
0,37269446,20,20,5
0,32512895,30,7,70
0,38184302,15,27,115
0,40459298,10,12,90
0,31353352,10,2,115
0,31353352,10,2,115
0,43921666,10,15,65
0,32192603,10,12,95
0,35294515,10,22,65
0,36227390,10,7,-25
0,37051812,41,2,105
0,36573120,5,10,-45
0,36565813,11,2,5
0,39133925,10,7,35
0,33661695,15,7,40
0,39941405,17,12,-25
0,37872553,10,20,120
0,34339389,15,22,120
0,34308707,17,17,70
0,41645660,20,7,35
0,36802147,10,22,120
0,32846517,16,17,85
0,40071974,36,22,10
0,38590534,38,22,90
0,37511011,27,7,5
0,41438278,13,20,-30
0,30752710,8,10,15
0,35215765,10,17,110
0,37637583,36,22,90
0,36461787,8,10,-40
0,35051848,10,22,105
0,34107441,8,12,115
0,34315186,5,2,110
0,33557297,8,25,120
0,30653459,8,17,45
0,31371198,10,18,15
0,38465939,4,7,75
0,30739412,35,7,25
0,36248668,20,12,-25
0,39142435,16,13,50
0,33778412,36,15,35
0,36343098,20,17,105
0,35717652,-3,12,80
0,34146941,10,12,105
0,32514739,6,2,55
0,32930678,30,2,120
0,33826502,5,12,65
0,33457548,35,10,-10
0,36617194,13,22,110
0,31910269,20,22,120
0,37847988,5,22,105
0,36532311,3,12,115
0,37866644,5,22,120
0,30949207,0,22,120
0,34306330,10,12,65
0,41277368,40,15,-45
0,36608935,15,22,115
0,37271514,20,25,105
0,35625218,10,7,115
0,40151380,10,7,110
0,36913299,11,12,105
0,34371006,8,-3,105
0,41093392,16,12,120
0,39127414,8,2,120
0,35325350,16,10,100
0,32100183,35,17,45
0,31562786,10,22,120
0,31381624,10,10,85
0,37851981,3,22,110
0,41005802,37,12,100
0,37862277,20,-3,85
0,38894992,3,25,40
0,35516301,20,22,75
0,37382038,6,10,105
0,32940644,25,17,110
0,40186138,38,20,0
0,30717036,8,25,105
0,39335004,8,17,80
0,37635276,15,10,75
0,37890106,13,7,120
0,34205354,10,-8,85
0,37594781,15,25,105
0,37495808,33,22,105
0,39853959,20,10,-35
0,35728442,10,22,110
0,34646680,10,12,80
0,38953823,15,7,20
0,37855614,6,12,90
0,40493766,45,22,105
0,34029094,13,22,115
0,36615323,11,12,115
0,37495822,43,25,105
0,34120651,10,20,25
0,30592199,8,12,110
0,33432649,15,15,60
0,40436252,5,10,5
0,35757847,5,7,-10
0,35748522,15,22,-5
0,31502762,8,27,105
0,36645513,13,20,85
0,37094956,5,2,75
0,35760590,10,7,70
0,40280704,20,25,55
0,43621960,20,25,35
0,37993947,16,10,65
0,32534260,20,12,60
0,31972267,15,25,105
0,36559979,15,2,5
0,35166059,5,12,110
0,41887737,10,17,-30
0,35276831,33,7,80
0,36628459,15,22,75
0,39495615,30,15,-20
0,40631811,10,7,50
0,41491021,10,15,35
0,41265419,5,22,105
0,37847898,8,22,95
0,43824626,25,30,40
0,41806838,7,25,105
0,43459445,5,22,90
0,32585920,15,22,115
0,35572332,0,25,55
0,36672736,15,22,120
0,30804506,40,22,120
0,36095594,5,10,15
0,30185910,10,22,110
0,41310073,15,0,-55
0,31769886,10,12,110
0,33672014,1,2,85
0,37441087,13,22,110
0,37130375,15,12,95
0,41314077,8,22,105
0,35262418,8,22,105
0,32337681,15,10,15
0,33549386,11,17,95
0,35862936,13,12,105
0,38229006,33,7,110
0,37074380,13,7,120
0,38989023,20,12,105
0,41104147,50,22,105
0,40112321,40,15,65
0,32101573,18,27,90
0,37117081,13,27,60
0,35778972,5,22,105
0,43788337,0,10,-10
0,40529902,10,2,70
0,39684018,25,25,35
0,39628669,6,22,60
0,36932404,10,15,55
0,41114887,20,20,80
0,33841561,10,-3,100
0,31629912,33,7,95
0,36102679,0,23,5
0,37189142,15,22,120
0,34359734,8,22,105
0,33741361,13,17,80
0,30809336,10,22,110
